aberdeennews.com,Aberdeen American News,Aberdeen,South Dakota,4636,"GateHouse Media",BLOX,https://www.aberdeennews.com/,http://www.aberdeennews.com/search/?f=rss&t=article&l=10,11485,1885,11485|39|2
aberdeennews.com,Aberdeen American News,Aberdeen,South Dakota,4636,"GateHouse Media",BLOX,https://www.aberdeennews.com/,http://www.aberdeennews.com/search/?f=rss&t=article&l=10,11485,1885,11485|39|2
abilene-rc.com,Abilene Reflector-Chronicle,Abilene,Kansas,4637,"The White Corporation",BLOX,http://www.abilene-rc.com/,http://www.abilene-rc.com/search/?f=rss&t=article&l=10,3935,1942,3935|4400|3
abqjournal.com,Albuquerque Journal,Albuquerque,New Mexico,4648,"Albuquerque Publishing Company",,https://www.abqjournal.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US%3Aen&num=5&q=site%3Aabqjournal.com,43297,1880,43297||4
adirondackdailyenterprise.com,Adirondack Daily Enterprise,Saranac Lake,New York,5507,"Ogden Newspapers Inc.",WordPress,http://www.adirondackdailyenterprise.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=adirondackdailyenterprise.com,10207,1894,10207|1341|5
adn.com,Alaska Dispatch News,Anchorage,Alaska,4660,"Alaska Dispatch Publishing LLC",,https://www.adn.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=adn.com,3520,2014,3520|1080|6
advertiser-tribune.com,The Advertiser-Tribune,Tiffin,Ohio,5595,"Ogden Newspapers Inc.",WordPress,http://www.advertiser-tribune.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=advertiser-tribune.com,3000,,3000||7
aikenstandard.com,Evening Post Industries' Aiken Communications,Aiken,South Carolina,4641,"Evening Post Publishing Newspaper Group",BLOX,https://www.aikenstandard.com/,http://www.aikenstandard.com/search/?f=rss&t=article&l=10&s=start_time&sd=desc&k%5B%5D=%23topstory,6202,1867,6202||8
alamogordonews.com,Alamogordo Daily News,Alamogordo,New Mexico,4643,"Gannett",Presto,https://www.alamogordonews.com/,http://rssfeeds.alamogordonews.com/alamogordo/news&x=1,62974,1898,62974||9
alamosanews.com,Valley Courier,Alamosa,Colorado,4644,"News Media Corp.",,https://alamosanews.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=alamosanews.com,12021,1926,12021|1319|10
albertleatribune.com,Albert Lea Tribune,Albert Lea,Minnesota,4647,"Boone Newspapers, Inc.",WordPress,https://www.albertleatribune.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=albertleatribune.com,9516,1897,9516|1095|11
alexcityoutlook.com,Alexander City Outlook,Alexander City,Alabama,4649,"Boone Newspapers, Inc.",WordPress,http://www.alexcityoutlook.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=alexcityoutlook.com,5456,1892,5456||12
alliancetimes.com,Alliance Times-Herald,Alliance,Nebraska,4652,"Seaton Group",BLOX,http://www.alliancetimes.com/,http://www.alliancetimes.com/search/?f=rss&t=article&l=10,83795,1887,83795||13
alligator.org,The Independent Florida Alligator,Gainesville,Florida,4981,"University of Florida",BLOX,https://www.alligator.org/,https://www.alligator.org/search/?f=rss&t=article&l=10&s=start_time&sd=desc&k%5B%5D=%23topstory,3600,,3600|6000|14
altoonamirror.com,Altoona Mirror,Altoona,Pennsylvania,4655,"Ogden Newspapers Inc.",WordPress,http://www.altoonamirror.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=altoonamirror.com,5300,1876,5300||15
altustimes.com,Altus Times,Altus,Oklahoma,4656,"Graystone Media Group LLC",,https://www.altustimes.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=altustimes.com,15983,,15983||16
am-news.com,Morning News,Blackfoot,Idaho,4727,"Horizon Publications Inc.",Drupal,https://www.am-news.com/,http://www.am-news.com/search/?f=rss&t=article&l=10&s=start_time&sd=desc&k%5B%5D=%23topstory,5218,1903,5218||17
amarillo.com,Amarillo Globe-News,Amarillo,Texas,4657,"GateHouse Media",NewsCycle,https://www.amarillo.com/,https://www.amarillo.com//news?template=rss&mime=xml,66288,1909,66288||18
americanpress.com,American Press,Lake Charles,Louisiana,5137,"Shearman Corporation",BLOX,https://www.americanpress.com/,http://www.americanpress.com/search/?f=rss&t=article&l=10,3025,1895,3025||19
americustimesrecorder.com,Americus Times-Recorder,Americus,Georgia,4658,"Boone Newspapers, Inc.",WordPress,https://www.americustimesrecorder.com/,https://www.americustimesrecorder.com/wp-json/wp/v2/posts/,8069,1879,8069|323|20
amestrib.com,Ames Tribune,Ames,Iowa,4659,"GateHouse Media ",NewsCycle,https://www.amestrib.com/,https://www.amestrib.com//news?template=rss&mime=xml,6715,1868,6715|3309|21
amnews.com,The Advocate-Messenger,Danville,Kentucky,4868,"Boone Newspapers, Inc.",WordPress,https://www.amnews.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=amnews.com,4259,1940,4259||22
amny.com,amNew York,New York,New York,5327,"Newsday Media",,https://www.amny.com/,https://www.amny.com/xml/1.2427115,6866,,6866|80|23
andalusiastarnews.com,Andalusia Star-News,Andalusia,Alabama,4661,"Boone Newspapers, Inc.",WordPress,https://www.andalusiastarnews.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=andalusiastarnews.com,12003,1939,12003|73|24
annistonstar.com,The Anniston Star,Anniston,Alabama,4665,"Consolidated Publishing Co.",BLOX,https://www.annistonstar.com/,http://www.annistonstar.com/search/?f=rss&t=article&l=10,16990,1883,16990||25
antigodailyjournal.com,Antigo Daily Journal,Antigo,Wisconsin,4666,"Berner Brothers Publishing Company Inc.",,http://www.antigodailyjournal.com/,,21476,1905,21476|3159|27
apg-wi.com,The Ashland Daily Press,Ashland,Wisconsin,4674,"Adams Publishing Group, LLC",BLOX,https://www.apg-wi.com/,http://www.apg-wi.com/search/?f=rss&t=article&l=10,108363,,108363||28
app.com,Asbury Park Press,Neptune City,New Jersey,5314,"Gannett",Presto,https://www.app.com/,http://rssfeeds.app.com/asburypark/home&x=1,4070,1879,4070||29
appealdemocrat.com,Appeal Democrat,Marysville,California,5231,"VISTA California News Media. Inc.",,http://www.appealdemocrat.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=appealdemocrat.com,6962,1860,6962||30
ardmoreite.com,The Ardmoreite,Ardmore,Oklahoma,4668,"GateHouse Media",NewsCycle,https://www.ardmoreite.com/,https://www.ardmoreite.com//news?template=rss&mime=xml,12155,1893,12155|4345|31
argus-press.com,The Argus-Press,Owosso,Michigan,5373,"Argus-Press Co.",BLOX,https://www.argus-press.com/,http://www.argus-press.com/search/?f=rss&t=article&l=10,18745,,18745||32
argusleader.com,Argus Leader,Sioux Falls,South Dakota,5538,"Gannett",Presto,https://www.argusleader.com/,https://rssfeeds.argusleader.com/siouxfalls/home&x=1,5665,1881,5665|5|33
argusobserver.com,Argus Observer,Ontario,Oregon,5361,"Wick Communications",BLOX,https://www.argusobserver.com/,http://www.argusobserver.com/search/?f=rss&t=article&l=10,8116,1896,8116||34
arkansasonline.com,Arkansas Democrat-Gazette,Little Rock,Arkansas,5178,"WEHCO Media, Inc.",,https://www.arkansasonline.com/,,16240,1991,16240|18536|35
artesianews.com,Artesia Daily Press,Artesia,New Mexico,4671,"Walt Green",WordPress,http://www.artesianews.com/,http://www.artesianews.com/feed,18691,,18691||36
aspendailynews.com,Aspen Daily News,Aspen,Colorado,4678,"Silver News, LLC",BLOX,https://www.aspendailynews.com/,http://www.aspendailynews.com/search/?f=rss&t=article&l=10,13118,1978,13118|539|37
aspentimes.com,The Aspen Times,Aspen,Colorado,4678,"Swift Communications, Inc.",,https://www.aspentimes.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=aspentimes.com,37379,1881,37379||38
athensmessenger.com,The Athens Messenger,Athens,Ohio,4680,"Adams Publishing Group, LLC",BLOX,http://www.athensmessenger.com/,http://www.athensmessenger.com/search/?f=rss&t=article&l=10,25014,,25014||39
athensreview.com,Athens Daily Review,Athens,Texas,4681,"Community Newspaper Holdings, Inc.",BLOX,https://www.athensreview.com/,http://www.athensreview.com/search/?f=rss&t=article&l=10,32405,1901,32405||40
atholdailynews.com,Athol Daily News,Athol,Massachusetts,4685,"Athol Press Inc.",,https://www.atholdailynews.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=atholdailynews.com,4703,1934,4703||41
auburnjournal.com,Auburn Journal,Auburn,California,4688,"Brehm Communications, Inc.",Drupal,http://www.auburnjournal.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=auburnjournal.com,4832,1872,4832||42
auburnpub.com,The Citizen, Auburn,Auburn,New York,4689,"Lee Enterprises",BLOX,https://auburnpub.com/,http://auburnpub.com/search/?f=rss&t=article&l=10&s=start_time&sd=desc&k%5B%5D=%23topstory,10279,1816,10279|411|43
augustachronicle.com,The Augusta Chronicle,Augusta,Georgia,4690,"GateHouse Media",NewsCycle,https://www.augustachronicle.com/,https://www.augustachronicle.com//news?template=rss&mime=xml,6489,1785,6489||44
austindailyherald.com,Austin Daily Herald,Austin,Minnesota,4692,"Boone Newspapers, Inc.",WordPress,https://www.austindailyherald.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=austindailyherald.com,2900,1891,2900||45
avpress.com,Antelope Valley Press,Palmdale,California,5380,"Antelope Valley Newspapers Inc",BLOX,https://www.avpress.com/,http://www.avpress.com/search/?f=rss&t=article&l=10,4591,1915,4591||46
azcentral.com,The Arizona Republic,Phoenix,Arizona,5397,"Gannett",Presto,https://www.azcentral.com/,http://rssfeeds.azcentral.com/phoenix/local&x=1,4000,1890,4000||47
azdailysun.com,Arizona Daily Sun, Flagstaff,Flagstaff,Arizona,4951,"Lee Enterprises",BLOX,https://azdailysun.com/,http://azdailysun.com/search/?f=rss&t=article&l=10,33301,1883,33301||48
bakersfield.com,The Bakersfield Californian,Bakersfield,California,4696,"Virginia F. Moorhouse",BLOX,https://www.bakersfield.com/,http://www.bakersfield.com/search/?f=rss&t=article&l=10&s=start_time&sd=desc&k%5B%5D=%23topstory,7125,1866,7125|898|49
baltimoresun.com,The Baltimore Sun,Baltimore,Maryland,4697,"Tribune Publishing Co.",,https://www.baltimoresun.com/,http://www.baltimoresun.com/rss2.0.xml,12562,1837,12562||50
bangordailynews.com,Bangor Daily News,Bangor,Maine,4698,"Bangor Publishing Company",WordPress,http://www.bangordailynews.com/,https://bangordailynews.com/feed/,8392,,8392|333|51
banner-tribune.com,The Daily Review,Morgan City,Louisiana,5285,"LSN Publishing Company LLC",Drupal,https://www.banner-tribune.com/,https://www.banner-tribune.com/rss.xml,9854,1872,9854|826|52
bannergraphic.com,Banner-Graphic,Greencastle,Indiana,5008,"Rust Communications",,http://www.bannergraphic.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=bannergraphic.com,26347,1843,26347||53
bastropenterprise.com,Bastrop Daily Enterprise,Bastrop,Louisiana,4701,"GateHouse Media",NewsCycle,https://www.bastropenterprise.com/,https://www.bastropenterprise.com//news?template=rss&mime=xml,8342,1898,8342|1004|54
battlecreekenquirer.com,Battle Creek Enquirer,Battle Creek,Michigan,4703,"Gannett",Presto,https://www.battlecreekenquirer.com/,https://rssfeeds.battlecreekenquirer.com/battlecreek/home&x=1,12500,1900,12500||55
baxterbulletin.com,The Baxter Bulletin,Mountain Home,Arkansas,5298,"Gannett",Presto,https://www.baxterbulletin.com/,http://rssfeeds.baxterbulletin.com/baxter/home&x=1,18531,1901,18531|1488|56
baytownsun.com,The Baytown Sun,Baytown,Texas,4704,"Southern Newspapers Inc.",BLOX,http://baytownsun.com/,http://baytownsun.com/search/?f=rss&t=article&l=10&s=start_time&sd=desc&k%5B%5D=%23topstory,3800,1922,3800||57
bdtonline.com,Bluefield Daily Telegraph,Bluefield,West Virginia,4730,"Community Newspaper Holdings, Inc.",BLOX,https://www.bdtonline.com/,http://www.bdtonline.com/search/?f=rss&t=article&l=10,5391,1896,5391|1127|58
beatricedailysun.com,Beatrice Daily Sun,Beatrice,Nebraska,4705,"Lee Enterprises",BLOX,https://beatricedailysun.com/,http://beatricedailysun.com/search/?f=rss&t=article&l=10,11000,1902,11000||59
beaumontenterprise.com,The Beaumont Enterprise,Beaumont,Texas,4706,"Hearst Communications, Inc.",,https://www.beaumontenterprise.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=beaumontenterprise.com,2750,1880,2750||60
bedfordgazette.com,The Bedford Gazette,Bedford,Pennsylvania,4710,"Sample News Group LLC",BLOX,https://www.bedfordgazette.com/,http://www.bedfordgazette.com/search/?f=rss&t=article&l=10,62868,1805,62868||61
bellinghamherald.com,The Bellingham Herald,Bellingham,Washington,4713,"The McClatchy Company",Escenic,https://www.bellinghamherald.com/,https://www.bellinghamherald.com/?widgetName=rssfeed&widgetContentId=6199&getXmlFeed=true,5147,1890,5147||62
beloitdailynews.com,Beloit Daily News,Beloit,Wisconsin,4714,"Hagadone Corporation",NewsCycle,https://www.beloitdailynews.com/,https://www.beloitdailynews.com//news?template=rss&mime=xml,11272,1848,11272||63
bemidjipioneer.com,The Bemidji Pioneer,Bemidji,Minnesota,4715,"Forum Communications Co.",Drupal,https://www.bemidjipioneer.com/,https://www.bemidjipioneer.com/latest/rss/,3500,1896,3500||64
bendbulletin.com,The Bulletin,Bend,Oregon,4716,"Western Communications, Inc.",,https://www.bendbulletin.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=bendbulletin.com,12571,1903,12571|376|65
beniciaheraldonline.com,Benicia Herald,Benicia,California,4717,"McNaughton Newspapers",WordPress,http://beniciaheraldonline.com/,http://beniciaheraldonline.com/feed/,10000,1898,10000||66
benningtonbanner.com,Bennington Banner,Bennington,Vermont,4718,"Birdland Acquisition LLC.",WordPress,https://www.benningtonbanner.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=benningtonbanner.com,3841,1905,3841||67
bentoncourier.com,The Saline Courier,Benton,Arkansas,4719,"Horizon Publications Inc.",Drupal,https://www.bentoncourier.com/,https://bentoncourier.com/rss.xml,12864,1876,12864|191|68
bentoneveningnews.com,Benton Evening News,Benton,Illinois,4720,"Paddock Publications",,http://www.bentoneveningnews.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=bentoneveningnews.com,4661,,4661||69
berkshireeagle.com,The Berkshire Eagle,Pittsfield,Massachusetts,5403,"Birdland Acquisition LLC.",WordPress,https://www.berkshireeagle.com/,https://news.google.com/rss/search?hl=en-US&gl=US&ceid=US=en&num=5&q=site=berkshireeagle.com,4721,1891,4721||70
bgdailynews.com,Daily News,Bowling Green,Kentucky,4739,"Bowling Green news Publishing Co.",BLOX,https://www.bgdailynews.com/,http://www.bgdailynews.com/search/?f=rss&t=article&l=10,6700,1854,6700||71
bhpioneer.com,Black Hills Pioneer,Spearfish,South Dakota,5549,"Seaton Group",BLOX,http://www.bhpioneer.com/,http://www.bhpioneer.com/search/?f=rss&t=article&l=10,8101,1876,8101|0|72
bigspringherald.com,Big Spring Herald,Big Spring,Texas,4723,"Horizon Publications Inc.",Drupal,https://www.bigspringherald.com/,https://bigspringherald.com/rss.xml,2800,1904,2800||73
billingsgazette.com,Billings Gazette,Billings,Montana,4724,"Lee Enterprises",BLOX,https://billingsgazette.com/,http://billingsgazette.com/search/?f=rss&t=article&l=10,10769,1885,10769|652|74
